Tree,parent_id,parent_x,parent_y,offspring_x,offspring_y,selfed
TV2269,TV2271,-115.43628333333334,37.41943333333333,-115.4364,37.419383333333336,FALSE
TV2525,TV2524,-115.44946666666667,37.41061666666667,-115.4495,37.41065,TRUE
TV3008,TV3017,-115.5061,37.495533333333334,-115.50803333333333,37.49511666666667,FALSE
TV3010,TV3008,-115.50803333333333,37.49511666666667,-115.50835,37.4951,FALSE
TV3017,TV3001,-115.51651666666666,37.49803333333333,-115.5061,37.495533333333334,FALSE
TV3020,TV3010,-115.50835,37.4951,-115.50588333333333,37.494683333333334,FALSE
TV3027,TV3030,-115.50041666666667,37.4929,-115.50043333333333,37.49325,FALSE
TV3029,TV3026,-115.50025,37.4931,-115.5005,37.492916666666666,FALSE
TV3032,TV5051,-115.49251666666666,37.48695,-115.50098333333334,37.49255,FALSE
TV3033,TV3034,-115.50025,37.49263333333333,-115.50025,37.49263333333333,TRUE
TV3037,TV3038,-115.49793333333334,37.492533333333334,-115.49793333333334,37.492533333333334,FALSE
TV3055,TV3050,-115.49565,37.491883333333334,-115.4957,37.4918,FALSE
TV3056,TV3049,-115.49573333333333,37.49191666666667,-115.49565,37.49171666666667,FALSE
TV3202,TV3203,-115.51845,37.4918,-115.5184,37.49176666666666,TRUE
TV3211,TV3213,-115.51718333333334,37.49085,-115.51733333333334,37.49196666666667,FALSE
TV3228,TV4752,-115.52736666666667,37.49186666666667,-115.51363333333333,37.489733333333334,FALSE
TV3234,TV5059,-115.49416666666667,37.4886,-115.51258333333334,37.490033333333336,FALSE
TV4254,TV5138,-115.52278333333334,37.47796666666667,-115.52388333333333,37.477016666666664,FALSE
TV4255,TV4558,-115.51021666666666,37.470283333333334,-115.52301666666666,37.47513333333333,FALSE
TV4256,TV5139,-115.52308333333333,37.47761666666667,-115.52218333333333,37.475566666666666,FALSE
TV4261,TV4262,-115.52055,37.47441666666667,-115.52068333333334,37.4742,FALSE
TV4265,TV4261,-115.52068333333334,37.4742,-115.5193,37.47346666666667,FALSE
TV4266,TV4826,-115.51096666666666,37.479283333333335,-115.51965,37.4729,FALSE
TV4272,TV4261,-115.52068333333334,37.4742,-115.51781666666666,37.4717,FALSE
TV4286,TV4287,-115.51536666666667,37.4703,-115.5154,37.470283333333334,FALSE
TV4287,TV4284,-115.5156,37.470283333333334,-115.51536666666667,37.4703,FALSE
TV4289,TV4293,-115.51411666666667,37.468916666666665,-115.51566666666666,37.46975,FALSE
TV4292,TV4265,-115.5193,37.47346666666667,-115.51541666666667,37.47045,FALSE
TV4295,TV4294,-115.5139,37.46885,-115.5139,37.46885,TRUE
TV4307,TV5237,-115.51231666666666,37.46525,-115.51225,37.46758333333333,FALSE
TV4308,TV4528,-115.51593333333334,37.474516666666666,-115.51266666666666,37.46775,FALSE
TV4312,TV5241,-115.51245,37.46565,-115.51295,37.46756666666667,FALSE
TV4316,TV5255,-115.5084,37.46618333333333,-115.51091666666667,37.46618333333333,FALSE
TV4517,TV5124,-115.5188,37.47631666666667,-115.51865,37.477016666666664,FALSE
TV4521,TV4525,-115.51761666666667,37.4755,-115.5178,37.47586666666667,FALSE
TV4533,TV4532,-115.51625,37.47456666666667,-115.51625,37.4746,TRUE
TV4546,TV4532,-115.51625,37.47456666666667,-115.51333333333334,37.47295,FALSE
TV4547,TV4545,-115.51343333333334,37.473,-115.51326666666667,37.47293333333333,FALSE
TV4753,TV3228,-115.51363333333333,37.489733333333334,-115.52513333333333,37.49048333333333,FALSE
TV4754,TV4827,-115.51058333333333,37.4792,-115.5255,37.490883333333336,FALSE
TV4757,TV4758,-115.5221,37.48786666666667,-115.52388333333333,37.488883333333334,FALSE
TV4760,TV4813,-115.51236666666667,37.480183333333336,-115.52051666666667,37.48668333333333,FALSE
TV4766,TV4802,-115.51425,37.48175,-115.5186,37.485283333333335,FALSE
TV4769,TV4802,-115.51425,37.48175,-115.51876666666666,37.48506666666667,FALSE
TV4770,TV4776,-115.51888333333333,37.485566666666664,-115.5189,37.48515,FALSE
TV4773,TV4776,-115.51888333333333,37.485566666666664,-115.5193,37.48515,FALSE
TV4777,TV4778,-115.51895,37.485733333333336,-115.51895,37.485733333333336,TRUE
TV4780,TV5121,-115.5192,37.4822,-115.51728333333334,37.484233333333336,FALSE
TV4789,TV4802,-115.51425,37.48175,-115.5155,37.48278333333333,FALSE
TV4802,TV4805,-115.51435,37.4815,-115.51425,37.48175,FALSE
TV4807,TV4802,-115.51425,37.48175,-115.51416666666667,37.481316666666665,FALSE
TV4811,TV4826,-115.51096666666666,37.479283333333335,-115.51235,37.480216666666664,FALSE
TV4823,TV4810,-115.51221666666666,37.480466666666665,-115.51115,37.47898333333333,FALSE
TV4833,TV4830,-115.50746666666667,37.47643333333333,-115.50781666666667,37.4764,FALSE
TV5039,TV5080,-115.49696666666667,37.49118333333333,-115.49123333333333,37.48591666666667,FALSE
TV5052,TV5049,-115.4927,37.486916666666666,-115.49241666666667,37.487033333333336,FALSE
TV5080,TV5076,-115.4972,37.49085,-115.49696666666667,37.49118333333333,FALSE
TV5081,TV3049,-115.49573333333333,37.49191666666667,-115.49708333333334,37.49155,FALSE
TV5131,TV4525,-115.51761666666667,37.4755,-115.51856666666667,37.4758,FALSE
TV5139,TV4252,-115.52376666666666,37.47658333333333,-115.52308333333333,37.47761666666667,FALSE
TV5145,TV5167,-115.48995,37.4648,-115.49063333333334,37.46495,FALSE
TV5147,TV5148,-115.49043333333333,37.46491666666667,-115.49043333333333,37.46491666666667,FALSE
TV5157,TV5156,-115.48978333333334,37.46476666666667,-115.48978333333334,37.46476666666667,TRUE
TV5176,TV5175,-115.49106666666667,37.464333333333336,-115.49106666666667,37.46446666666667,TRUE
TV5229,TV5225,-115.51581666666667,37.466883333333335,-115.51476666666667,37.4667,FALSE
TV5232,TV5227,-115.51486666666666,37.4666,-115.5148,37.466766666666665,FALSE
TV5235,TV5257,-115.50851666666667,37.46625,-115.51446666666666,37.46635,FALSE
TV5237,TV5238,-115.51228333333333,37.465316666666666,-115.51231666666666,37.46525,FALSE
TV5238,TV4290,-115.51606666666666,37.46985,-115.51228333333333,37.465316666666666,FALSE
TV5239,TV5237,-115.51231666666666,37.46525,-115.51241666666667,37.465266666666665,FALSE
TV5240,TV5237,-115.51231666666666,37.46525,-115.5125,37.4655,FALSE
TV5254,TV5252,-115.50833333333334,37.4659,-115.50825,37.46601666666667,FALSE
TV5255,TV5251,-115.5084,37.46593333333333,-115.5084,37.46618333333333,FALSE
TV5256,TV5250,-115.50838333333333,37.46588333333333,-115.5084,37.46621666666667,FALSE
TV5257,TV4558,-115.51021666666666,37.470283333333334,-115.50851666666667,37.46625,FALSE
TV5262,TV5259,-115.48436666666667,37.44631666666667,-115.48388333333334,37.446466666666666,FALSE
TV5263,TV5264,-115.4838,37.446466666666666,-115.4838,37.446466666666666,FALSE
TV5274,TV5279,-115.48365,37.447633333333336,-115.48378333333334,37.448,FALSE
TV5303,TV5311,-115.51158333333333,37.478033333333336,-115.51128333333334,37.47813333333333,FALSE
TV3017,TV2271,-115.43628333333334,37.41943333333333,-115.5061,37.495533333333334,FALSE
TV4316,TV4317,-115.5107,37.46626666666667,-115.51091666666667,37.46618333333333,FALSE
TV4546,TV4304,-115.51258333333334,37.467483333333334,-115.51333333333334,37.47295,FALSE
TV4754,TV4755,-115.52385,37.48925,-115.5255,37.490883333333336,FALSE
TV4766,TV4787,-115.5175,37.48381666666667,-115.5186,37.485283333333335,FALSE
TV4823,TV4796,-115.51601666666667,37.4831,-115.51115,37.47898333333333,FALSE
